geneName	GSM340547	GSM340548	GSM340549	GSM340550	GSM340551	GSM340552	GSM340553	GSM340554	GSM340555	GSM340556	GSM340557	GSM340558	GSM340559	GSM340560	GSM340561	GSM340562	GSM340563	GSM340564	GSM340565	GSM340566	GSM340567	GSM340568	GSM340569	GSM340570	GSM340571	GSM340572	GSM340573	GSM340574	GSM340575	GSM340576	GSM340577	GSM340578	GSM340579	GSM340580	GSM340581	GSM340582	GSM340583	GSM340584	GSM340585	GSM340586	GSM340587	GSM340588	GSM340589	GSM340590	GSM340591	GSM340592	GSM340593	GSM340594	GSM340595	GSM340596	GSM340597	GSM340598	GSM340599	GSM340600	GSM340601	GSM340602	GSM340603	GSM340604
ABCB4	159.786310259406	165.421162321599	171.254727012622	174.853152864563	230.720118428372	163.143760296866	127.115839415941	191.340703825272	165.421162321599	184.82293702688	195.361178746952	170.071784204353	174.853152864563	177.294011918198	156.497955544585	245.571614547268	166.571757496567	199.466132393088	166.571757496567	177.294011918198	210.839300420499	202.250575837025	152.218510720348	312.995911089169	310.833890405132	178.527189292852	315.172969816299	212.305803728497	222.860944203808	245.571614547268	179.768944094464	235.568038559968	207.936613467196	206.500290360864	126.23778617515	284.049784849368	140.069593761375	143.012753673244	148.056087539877	152.218510720348	165.421162321599	183.546271746026	149.085899067962	203.657339841259	188.706459813261	232.324903761193	135.298309191857	194.011720513331	146.017755631158	114.56320907878	166.571757496567	155.416945202566	156.497955544585	192.671583668617	191.340703825272	196.720023204866	200.853529061568	181.019335983756
ABCB9	222.860944203808	240.517823798787	142.024892424684	143.012753673244	137.187003204645	212.305803728497	159.786310259406	158.68258559219	146.017755631158	151.16706066298	158.68258559219	160.897711938794	135.298309191857	159.786310259406	151.16706066298	144.007486040168	171.254727012622	150.122873501681	163.143760296866	149.085899067962	164.278514888052	159.786310259406	155.416945202566	170.071784204353	188.706459813261	164.278514888052	188.706459813261	151.16706066298	149.085899067962	159.786310259406	159.786310259406	158.68258559219	154.343401944417	154.343401944417	155.416945202566	154.343401944417	164.278514888052	147.03338943962	148.056087539877	145.009137317862	154.343401944417	155.416945202566	159.786310259406	152.218510720348	128.89031040726	147.03338943962	137.187003204645	162.016844028196	145.009137317862	150.122873501681	141.043854832206	164.278514888052	186.108482217	178.527189292852	188.706459813261	135.298309191857	159.786310259406	159.786310259406
ACHE	153.277274191223	139.102062403335	138.141214272567	207.936613467196	160.897711938794	147.03338943962	157.586484908149	152.218510720348	166.571757496567	155.416945202566	166.571757496567	158.68258559219	153.277274191223	152.218510720348	148.056087539877	163.143760296866	152.218510720348	135.298309191857	139.102062403335	148.056087539877	149.085899067962	140.069593761375	148.056087539877	139.102062403335	142.024892424684	138.141214272567	142.024892424684	152.218510720348	138.141214272567	132.513910251696	126.23778617515	142.024892424684	133.435617387664	130.689552090521	137.187003204645	172.445897838808	170.071784204353	154.343401944417	194.011720513331	147.03338943962	147.03338943962	144.007486040168	140.069593761375	143.012753673244	142.024892424684	153.277274191223	153.277274191223	135.298309191857	153.277274191223	149.085899067962	149.085899067962	147.03338943962	135.298309191857	137.187003204645	148.056087539877	145.009137317862	139.102062403335	147.03338943962
ACP5	168.897012578931	257.78062081452	238.856445833423	284.049784849368	155.416945202566	259.573626826247	216.766799964807	310.833890405132	263.197139623953	427.565014747325	407.314679682518	401.707058123136	213.782507373663	235.568038559968	229.126418157561	491.143229094535	344.891795677617	274.374006409291	308.686803888835	377.412919626522	288.014972080335	519.147253652495	286.025507346488	1136.19913939747	613.109096764891	385.343167337233	342.509454025245	1176.26711551696	199.466132393088	270.596618383713	474.41308768787	393.440046409731	256	261.379104181041	377.412919626522	675.588050315722	342.509454025245	319.572620518813	526.394279247906	242.190757561753	199.466132393088	191.340703825272	286.025507346488	227.543726378642	298.171798135925	261.379104181041	237.206543843935	209.382926990792	243.875327499248	288.014972080335	272.47876670806	265.027820503393	238.856445833423	410.147777325886	243.875327499248	512	600.491494006722	210.839300420499
ADAM28	330.842324643198	354.588023836397	544.95753341612	464.649807522386	168.897012578931	404.501151674049	167.73035569387	608.874042881393	494.559400409521	467.881702517453	560.278375045499	374.80593816208	576.02994416067	265.027820503393	335.460711387741	515.56124162904	319.572620518813	680.287136817414	298.171798135925	448.82212931381	300.245747003361	729.113700145701	675.588050315722	975.501309996992	837.531707963168	501.463192364507	328.557029776103	910.174905514568	359.537888188927	219.792751728065	362.038671967512	666.28702998627	219.792751728065	512	357.054378585704	885.286124859253	548.748012818582	298.171798135925	552.564857090267	625.991822178339	600.491494006722	266.871234775327	254.231678831881	369.645874053759	625.991822178339	229.126418157561	634.730342368761	600.491494006722	661.684649286396	165.421162321599	604.66824265192	588.133557758482	560.278375045499	321.795423877588	564.175419328825	519.147253652495	464.649807522386	278.204124806671
ADAMDEC1	149.085899067962	116.970425629363	182.278425036425	128	151.16706066298	143.012753673244	146.017755631158	202.250575837025	174.853152864563	162.016844028196	215.269482304951	167.73035569387	139.102062403335	152.218510720348	147.03338943962	272.47876670806	188.706459813261	183.546271746026	158.68258559219	154.343401944417	149.085899067962	162.016844028196	138.141214272567	613.109096764891	765.362815301089	173.645353913302	213.782507373663	519.147253652495	128.89031040726	155.416945202566	221.321531214813	184.82293702688	146.017755631158	151.16706066298	136.23938335403	533.742469550654	294.066778879241	137.187003204645	276.282428545133	210.839300420499	152.218510720348	149.085899067962	121.095378780876	165.421162321599	203.657339841259	163.143760296866	162.016844028196	184.82293702688	138.141214272567	135.298309191857	138.141214272567	186.108482217	149.085899067962	181.019335983756	152.218510720348	359.537888188927	156.497955544585	144.007486040168
ADAMTS3	153.277274191223	153.277274191223	145.009137317862	171.254727012622	198.088319173426	152.218510720348	134.363735503753	171.254727012622	154.343401944417	173.645353913302	163.143760296866	177.294011918198	150.122873501681	184.82293702688	190.019017040518	163.143760296866	158.68258559219	157.586484908149	168.897012578931	160.897711938794	155.416945202566	154.343401944417	162.016844028196	157.586484908149	158.68258559219	156.497955544585	167.73035569387	183.546271746026	165.421162321599	191.340703825272	152.218510720348	164.278514888052	186.108482217	158.68258559219	156.497955544585	165.421162321599	135.298309191857	160.897711938794	155.416945202566	159.786310259406	160.897711938794	187.40296908104	157.586484908149	191.340703825272	168.897012578931	173.645353913302	166.571757496567	168.897012578931	147.03338943962	170.071784204353	141.043854832206	156.497955544585	170.071784204353	163.143760296866	153.277274191223	144.007486040168	134.363735503753	184.82293702688
ADRB2	354.588023836397	484.381515123505	427.565014747325	786.880092819462	256	849.223214913988	265.027820503393	809.002303348098	556.408249613341	377.412919626522	704.277410887549	657.114059552207	533.742469550654	675.588050315722	458.252836315122	675.588050315722	471.136077119936	556.408249613341	1243.33556162053	634.730342368761	377.412919626522	512	491.143229094535	572.051014692977	670.921422775482	719.075776377855	760.076068162073	849.223214913988	430.538964609902	292.035511262316	497.99933307509	694.581415653208	396.176638346852	797.864529572352	826.001161443457	1168.14204504927	1168.14204504927	537.454942015011	617.373607777669	442.643062429627	689.783591355233	481.035647597574	404.501151674049	639.145241037625	584.071022524633	300.245747003361	544.95753341612	699.41261145825	477.712891666846	634.730342368761	760.076068162073	861.077929219804	199.466132393088	349.706305729125	1278.29048207525	630.345939632597	359.537888188927	410.147777325886
AIF1	352.138705443775	263.197139623953	433.533599929614	1541.37266934893	257.78062081452	613.109096764891	519.147253652495	714.108757171408	608.874042881393	1002.92638472901	968.76303024701	814.629359365037	820.295554651773	560.278375045499	831.746453868785	948.82617537574	714.108757171408	786.880092819462	369.645874053759	652.575041187462	826.001161443457	989.118800819041	916.505672630244	1573.76018563892	1200.98298801344	903.887868201631	962.071295195148	3040.30427264829	464.649807522386	948.82617537574	776.046882053324	1937.52606049402	1031.12248325808	754.825839253044	1031.12248325808	1845.76094742698	955.425783333691	319.572620518813	1082.38647353485	897.64425862762	519.147253652495	719.075776377855	541.193236767427	843.357201681995	942.272154239873	770.686334674466	418.765853981584	891.443776815232	580.036549271449	252.4755723503	604.66824265192	515.56124162904	286.025507346488	1209.33648530384	519.147253652495	1351.17610063144	1305.15008237492	689.783591355233
AIM2	1360.57427363483	5914.33398486014	568.099569698737	694.581415653208	328.557029776103	278.204124806671	401.707058123136	439.58550345613	584.071022524633	704.277410887549	497.99933307509	739.291748107518	897.64425862762	252.4755723503	157.586484908149	1530.72563060218	519.147253652495	608.874042881393	1722.15585843961	257.78062081452	296.112175079754	233.940851258727	424.611607456994	2998.44750529664	4576.40811754381	519.147253652495	451.943934100815	1573.76018563892	342.509454025245	218.274532292597	1038.29450730499	2702.35220126289	372.216964433999	421.678600840998	396.176638346852	4672.56818019706	1488.867857736	6080.60854529659	1305.15008237492	2149.81976806004	165.421162321599	588.133557758482	282.087709664412	639.145241037625	504.9511447006	776.046882053324	382.681407650544	491.143229094535	237.206543843935	1734.13439971846	1009.9022894012	304.437021440697	3743.05362013962	929.299615044772	243.875327499248	2320.14619708579	396.176638346852	179.768944094464
