geneName	GSM340612	GSM340613	GSM340614	GSM340618	GSM340620	GSM340623	GSM340628	GSM340630	GSM340633	GSM340634	GSM340636	GSM340648	GSM340653	GSM340654	GSM340660	GSM340665	GSM340672	GSM340673	GSM340674	GSM340677	GSM340678	GSM340684	GSM340693	GSM340694	GSM340696	GSM340697	GSM340700	GSM340701	GSM340702	GSM340704	GSM340705	GSM340706	GSM340709	GSM340712	GSM340714	GSM340715	GSM340718	GSM340720	GSM340721	GSM340723	GSM340725	GSM340727	GSM340728	GSM340729	GSM340731	GSM340732	GSM340733	GSM340745	GSM340746	GSM340747	GSM340757	GSM340758	GSM340759	GSM340760	GSM340761	GSM340762	GSM340763	GSM340764	GSM340765	GSM340766	GSM340767	GSM340769
ABCB4	205.073888662943	129.786813413124	134.363735503753	195.361178746952	131.598569811977	129.786813413124	127.115839415941	144.007486040168	135.298309191857	163.143760296866	170.071784204353	146.017755631158	127.115839415941	142.024892424684	165.421162321599	121.095378780876	137.187003204645	128.89031040726	186.108482217	306.554548382446	152.218510720348	146.017755631158	248.999666537545	188.706459813261	125.365798091127	233.940851258727	184.82293702688	173.645353913302	151.16706066298	118.603271921967	248.999666537545	137.187003204645	128.89031040726	123.63985010238	140.069593761375	132.513910251696	137.187003204645	155.416945202566	144.007486040168	124.499833268773	163.143760296866	164.278514888052	121.937663749624	116.970425629363	151.16706066298	153.277274191223	164.278514888052	146.017755631158	186.108482217	157.586484908149	144.007486040168	235.568038559968	170.071784204353	128.89031040726	171.254727012622	186.108482217	151.16706066298	140.069593761375	195.361178746952	165.421162321599	137.187003204645	199.466132393088
ABCB9	156.497955544585	163.143760296866	166.571757496567	191.340703825272	176.069352721887	178.527189292852	200.853529061568	188.706459813261	160.897711938794	148.056087539877	257.78062081452	170.071784204353	160.897711938794	206.500290360864	145.009137317862	191.340703825272	188.706459813261	150.122873501681	146.017755631158	222.860944203808	296.112175079754	182.278425036425	203.657339841259	178.527189292852	172.445897838808	186.108482217	153.277274191223	147.03338943962	168.897012578931	158.68258559219	157.586484908149	178.527189292852	187.40296908104	174.853152864563	141.043854832206	165.421162321599	151.16706066298	135.298309191857	157.586484908149	240.517823798787	173.645353913302	177.294011918198	176.069352721887	152.218510720348	142.024892424684	290.018274635724	147.03338943962	173.645353913302	139.102062403335	141.043854832206	174.853152864563	198.088319173426	135.298309191857	170.071784204353	170.071784204353	157.586484908149	164.278514888052	165.421162321599	179.768944094464	198.088319173426	199.466132393088	167.73035569387
ACHE	134.363735503753	145.009137317862	124.499833268773	145.009137317862	142.024892424684	154.343401944417	144.007486040168	138.141214272567	153.277274191223	145.009137317862	135.298309191857	145.009137317862	135.298309191857	174.853152864563	199.466132393088	142.024892424684	146.017755631158	140.069593761375	154.343401944417	155.416945202566	150.122873501681	141.043854832206	133.435617387664	152.218510720348	153.277274191223	146.017755631158	158.68258559219	128	172.445897838808	141.043854832206	154.343401944417	133.435617387664	202.250575837025	137.187003204645	141.043854832206	146.017755631158	155.416945202566	155.416945202566	150.122873501681	146.017755631158	155.416945202566	140.069593761375	145.009137317862	158.68258559219	138.141214272567	143.012753673244	140.069593761375	149.085899067962	158.68258559219	137.187003204645	177.294011918198	139.102062403335	156.497955544585	137.187003204645	140.069593761375	167.73035569387	155.416945202566	171.254727012622	152.218510720348	151.16706066298	181.019335983756	168.897012578931
ACP5	248.999666537545	1060.11128201357	340.143568408707	256	396.176638346852	326.287520593731	797.864529572352	242.190757561753	270.596618383713	221.321531214813	537.454942015011	242.190757561753	548.748012818582	719.075776377855	156.497955544585	288.014972080335	254.231678831881	442.643062429627	263.197139623953	724.077343935025	544.95753341612	340.143568408707	689.783591355233	820.295554651773	666.28702998627	786.880092819462	404.501151674049	178.527189292852	306.554548382446	158.68258559219	1144.10202938595	282.087709664412	199.466132393088	326.287520593731	263.197139623953	284.049784849368	330.842324643198	333.143514993135	604.66824265192	221.321531214813	548.748012818582	367.092543492052	584.071022524633	455.087452757284	734.185086984103	820.295554651773	352.138705443775	481.035647597574	415.873226934392	344.891795677617	232.324903761193	359.537888188927	257.78062081452	278.204124806671	364.55685007285	270.596618383713	333.143514993135	153.277274191223	192.671583668617	263.197139623953	170.071784204353	245.571614547268
ADAM28	247.279700204761	168.897012578931	164.278514888052	164.278514888052	168.897012578931	178.527189292852	172.445897838808	335.460711387741	315.172969816299	163.143760296866	159.786310259406	312.995911089169	176.069352721887	212.305803728497	150.122873501681	212.305803728497	230.720118428372	177.294011918198	171.254727012622	224.411064656905	173.645353913302	347.290707826604	261.379104181041	324.033688056392	219.792751728065	357.054378585704	202.250575837025	284.049784849368	259.573626826247	203.657339841259	393.440046409731	181.019335983756	213.782507373663	181.019335983756	188.706459813261	229.126418157561	306.554548382446	167.73035569387	171.254727012622	195.361178746952	166.571757496567	484.381515123505	207.936613467196	163.143760296866	190.019017040518	224.411064656905	344.891795677617	192.671583668617	174.853152864563	195.361178746952	148.056087539877	198.088319173426	233.940851258727	182.278425036425	196.720023204866	367.092543492052	372.216964433999	270.596618383713	393.440046409731	209.382926990792	183.546271746026	544.95753341612
ADAMDEC1	139.102062403335	134.363735503753	143.012753673244	139.102062403335	134.363735503753	146.017755631158	143.012753673244	121.937663749624	131.598569811977	141.043854832206	126.23778617515	143.012753673244	137.187003204645	167.73035569387	170.071784204353	133.435617387664	158.68258559219	147.03338943962	174.853152864563	194.011720513331	130.689552090521	162.016844028196	164.278514888052	250.731596182253	163.143760296866	160.897711938794	126.23778617515	153.277274191223	131.598569811977	137.187003204645	151.16706066298	112.985983525204	181.019335983756	136.23938335403	149.085899067962	139.102062403335	163.143760296866	157.586484908149	133.435617387664	125.365798091127	151.16706066298	166.571757496567	151.16706066298	128.89031040726	148.056087539877	154.343401944417	188.706459813261	140.069593761375	138.141214272567	141.043854832206	124.499833268773	257.78062081452	122.785807273634	133.435617387664	171.254727012622	149.085899067962	181.019335983756	151.16706066298	146.017755631158	200.853529061568	135.298309191857	235.568038559968
ADAMTS3	163.143760296866	163.143760296866	163.143760296866	164.278514888052	146.017755631158	157.586484908149	248.999666537545	172.445897838808	148.056087539877	164.278514888052	145.009137317862	138.141214272567	146.017755631158	210.839300420499	128.89031040726	152.218510720348	155.416945202566	164.278514888052	179.768944094464	144.007486040168	159.786310259406	170.071784204353	157.586484908149	162.016844028196	151.16706066298	162.016844028196	136.23938335403	183.546271746026	158.68258559219	159.786310259406	190.019017040518	164.278514888052	177.294011918198	162.016844028196	165.421162321599	171.254727012622	152.218510720348	165.421162321599	143.012753673244	148.056087539877	151.16706066298	172.445897838808	181.019335983756	150.122873501681	170.071784204353	170.071784204353	181.019335983756	163.143760296866	156.497955544585	162.016844028196	183.546271746026	166.571757496567	181.019335983756	146.017755631158	188.706459813261	154.343401944417	182.278425036425	137.187003204645	158.68258559219	544.95753341612	163.143760296866	213.782507373663
ADRB2	820.295554651773	694.581415653208	652.575041187462	467.881702517453	596.34359627185	248.999666537545	1217.74808576279	296.112175079754	903.887868201631	242.190757561753	1184.44870031901	451.943934100815	194.011720513331	229.126418157561	181.019335983756	276.282428545133	261.379104181041	530.055641006786	398.932264786176	310.833890405132	242.190757561753	497.99933307509	461.440236856745	330.842324643198	792.353276693704	709.176047672794	200.853529061568	157.586484908149	415.873226934392	162.016844028196	377.412919626522	276.282428545133	1038.29450730499	210.839300420499	292.035511262316	455.087452757284	442.643062429627	221.321531214813	359.537888188927	247.279700204761	382.681407650544	584.071022524633	5556.65132522566	170.071784204353	1629.25871873007	604.66824265192	617.373607777669	621.667780810264	484.381515123505	157.586484908149	398.932264786176	617.373607777669	385.343167337233	1097.49602563716	372.216964433999	604.66824265192	284.049784849368	312.995911089169	372.216964433999	333.143514993135	306.554548382446	792.353276693704
AIF1	837.531707963168	424.611607456994	178.527189292852	248.999666537545	321.795423877588	321.795423877588	369.645874053759	181.019335983756	227.543726378642	407.314679682518	410.147777325886	369.645874053759	390.722357493903	942.272154239873	2005.85276945803	604.66824265192	689.783591355233	427.565014747325	2272.39827879495	576.02994416067	464.649807522386	657.114059552207	786.880092819462	792.353276693704	1152.05988832134	1176.26711551696	340.143568408707	206.500290360864	442.643062429627	242.190757561753	2019.8045788024	724.077343935025	317.365171184381	317.365171184381	1031.12248325808	410.147777325886	526.394279247906	3983.99466460072	342.509454025245	342.509454025245	436.549064585194	1097.49602563716	1168.14204504927	152.218510720348	826.001161443457	1002.92638472901	1833.01134526049	814.629359365037	3061.45126120435	374.80593816208	292.035511262316	910.174905514568	1640.59110930355	393.440046409731	1379.56718271047	461.440236856745	910.174905514568	335.460711387741	286.025507346488	4211.15423398325	548.748012818582	2179.83013366448
AIM2	232.324903761193	5042.76751706078	568.099569698737	487.750654998496	1112.81649922668	568.099569698737	3516.68402764904	1488.867857736	625.991822178339	1924.1425903903	237.206543843935	1509.65167850609	177.294011918198	424.611607456994	195.361178746952	600.491494006722	6122.90252240871	263.197139623953	362.038671967512	209.382926990792	317.365171184381	6608.00929154766	4705.06846206785	243.875327499248	1488.867857736	630.345939632597	172.445897838808	187.40296908104	6936.53759887382	222.860944203808	1722.15585843961	643.590847755176	300.245747003361	280.139187522749	413.000580721729	347.290707826604	2856.43502868563	548.748012818582	150.122873501681	699.41261145825	227.543726378642	652.575041187462	2385.3743850874	143.012753673244	792.353276693704	6888.62343375843	3125.77885995122	6122.90252240871	421.678600840998	174.853152864563	458.252836315122	261.379104181041	657.114059552207	181.019335983756	296.112175079754	487.750654998496	3492.39251668155	982.28645818907	4904.87277411913	4269.93975640524	1871.52681006981	734.185086984103
