geneName	GSM340605	GSM340606	GSM340607	GSM340608	GSM340609	GSM340610	GSM340611	GSM340615	GSM340616	GSM340617	GSM340619	GSM340621	GSM340622	GSM340624	GSM340625	GSM340626	GSM340627	GSM340629	GSM340631	GSM340632	GSM340635	GSM340637	GSM340638	GSM340639	GSM340640	GSM340641	GSM340642	GSM340643	GSM340644	GSM340645	GSM340646	GSM340647	GSM340649	GSM340650	GSM340651	GSM340652	GSM340655	GSM340656	GSM340657	GSM340658	GSM340659	GSM340661	GSM340662	GSM340663	GSM340664	GSM340666	GSM340667	GSM340668	GSM340669	GSM340670	GSM340671	GSM340675	GSM340676	GSM340679	GSM340680	GSM340681	GSM340682	GSM340683	GSM340685	GSM340686	GSM340687	GSM340688	GSM340689	GSM340690	GSM340691	GSM340692	GSM340695	GSM340698	GSM340699	GSM340703	GSM340707	GSM340708	GSM340710	GSM340711	GSM340713	GSM340716	GSM340717	GSM340719	GSM340722	GSM340724	GSM340726	GSM340730	GSM340734	GSM340735	GSM340736	GSM340737	GSM340738	GSM340739	GSM340740	GSM340741	GSM340742	GSM340743	GSM340744	GSM340748	GSM340749	GSM340750	GSM340751	GSM340752	GSM340753	GSM340754	GSM340755	GSM340756	GSM340768
ABCB4	116.162451880597	221.321531214813	166.571757496567	146.017755631158	139.102062403335	156.497955544585	130.689552090521	171.254727012622	139.102062403335	138.141214272567	132.513910251696	145.009137317862	125.365798091127	140.069593761375	150.122873501681	139.102062403335	115.360059214186	138.141214272567	127.115839415941	137.187003204645	170.071784204353	166.571757496567	117.784019279984	191.340703825272	147.03338943962	114.56320907878	151.16706066298	147.03338943962	172.445897838808	143.012753673244	132.513910251696	151.16706066298	207.936613467196	152.218510720348	163.143760296866	112.205532328452	119.428222916711	147.03338943962	152.218510720348	129.786813413124	116.970425629363	164.278514888052	131.598569811977	136.23938335403	127.115839415941	128	140.069593761375	139.102062403335	121.095378780876	153.277274191223	115.360059214186	124.499833268773	118.603271921967	168.897012578931	127.115839415941	139.102062403335	120.258911899394	138.141214272567	163.143760296866	160.897711938794	146.017755631158	126.23778617515	151.16706066298	149.085899067962	140.069593761375	139.102062403335	158.68258559219	137.187003204645	162.016844028196	164.278514888052	130.689552090521	142.024892424684	138.141214272567	144.007486040168	133.435617387664	128.89031040726	149.085899067962	184.82293702688	131.598569811977	199.466132393088	152.218510720348	145.009137317862	134.363735503753	132.513910251696	114.56320907878	141.043854832206	128.89031040726	202.250575837025	194.011720513331	138.141214272567	147.03338943962	134.363735503753	128	147.03338943962	178.527189292852	145.009137317862	128	132.513910251696	151.16706066298	144.007486040168	131.598569811977	147.03338943962	130.689552090521
ABCB9	130.689552090521	116.970425629363	196.720023204866	199.466132393088	140.069593761375	216.766799964807	160.897711938794	247.279700204761	187.40296908104	179.768944094464	129.786813413124	165.421162321599	202.250575837025	199.466132393088	181.019335983756	165.421162321599	158.68258559219	142.024892424684	178.527189292852	181.019335983756	170.071784204353	170.071784204353	192.671583668617	198.088319173426	210.839300420499	176.069352721887	192.671583668617	170.071784204353	172.445897838808	215.269482304951	172.445897838808	219.792751728065	199.466132393088	178.527189292852	179.768944094464	127.115839415941	157.586484908149	213.782507373663	153.277274191223	200.853529061568	152.218510720348	163.143760296866	158.68258559219	272.47876670806	213.782507373663	147.03338943962	166.571757496567	136.23938335403	146.017755631158	178.527189292852	136.23938335403	238.856445833423	163.143760296866	170.071784204353	152.218510720348	191.340703825272	173.645353913302	154.343401944417	188.706459813261	155.416945202566	224.411064656905	152.218510720348	157.586484908149	245.571614547268	207.936613467196	153.277274191223	164.278514888052	162.016844028196	170.071784204353	200.853529061568	174.853152864563	181.019335983756	173.645353913302	263.197139623953	177.294011918198	150.122873501681	168.897012578931	168.897012578931	177.294011918198	168.897012578931	140.069593761375	148.056087539877	155.416945202566	149.085899067962	167.73035569387	178.527189292852	142.024892424684	221.321531214813	150.122873501681	157.586484908149	121.095378780876	154.343401944417	165.421162321599	167.73035569387	143.012753673244	149.085899067962	165.421162321599	167.73035569387	155.416945202566	152.218510720348	176.069352721887	172.445897838808	172.445897838808
ACHE	131.598569811977	141.043854832206	139.102062403335	146.017755631158	159.786310259406	131.598569811977	152.218510720348	141.043854832206	144.007486040168	158.68258559219	145.009137317862	141.043854832206	144.007486040168	147.03338943962	148.056087539877	133.435617387664	155.416945202566	151.16706066298	141.043854832206	132.513910251696	158.68258559219	141.043854832206	153.277274191223	148.056087539877	191.340703825272	137.187003204645	137.187003204645	168.897012578931	142.024892424684	143.012753673244	166.571757496567	137.187003204645	133.435617387664	151.16706066298	136.23938335403	142.024892424684	145.009137317862	165.421162321599	131.598569811977	174.853152864563	150.122873501681	134.363735503753	148.056087539877	134.363735503753	142.024892424684	145.009137317862	148.056087539877	145.009137317862	138.141214272567	139.102062403335	136.23938335403	142.024892424684	156.497955544585	138.141214272567	174.853152864563	143.012753673244	136.23938335403	151.16706066298	148.056087539877	153.277274191223	139.102062403335	150.122873501681	140.069593761375	145.009137317862	166.571757496567	138.141214272567	142.024892424684	141.043854832206	143.012753673244	130.689552090521	153.277274191223	139.102062403335	138.141214272567	143.012753673244	129.786813413124	158.68258559219	148.056087539877	141.043854832206	172.445897838808	166.571757496567	158.68258559219	123.63985010238	134.363735503753	139.102062403335	148.056087539877	128.89031040726	149.085899067962	147.03338943962	152.218510720348	177.294011918198	129.786813413124	141.043854832206	150.122873501681	133.435617387664	153.277274191223	145.009137317862	159.786310259406	134.363735503753	142.024892424684	148.056087539877	170.071784204353	145.009137317862	138.141214272567
ACP5	154.343401944417	126.23778617515	760.076068162073	333.143514993135	212.305803728497	512	205.073888662943	675.588050315722	530.055641006786	337.794025157861	198.088319173426	215.269482304951	312.995911089169	404.501151674049	190.019017040518	261.379104181041	168.897012578931	290.018274635724	312.995911089169	263.197139623953	213.782507373663	282.087709664412	151.16706066298	396.176638346852	340.143568408707	467.881702517453	198.088319173426	190.019017040518	237.206543843935	278.204124806671	237.206543843935	481.035647597574	512	413.000580721729	286.025507346488	270.596618383713	504.9511447006	328.557029776103	497.99933307509	548.748012818582	335.460711387741	256	243.875327499248	222.860944203808	240.517823798787	192.671583668617	212.305803728497	218.274532292597	229.126418157561	820.295554651773	218.274532292597	243.875327499248	484.381515123505	526.394279247906	203.657339841259	491.143229094535	792.353276693704	352.138705443775	218.274532292597	243.875327499248	955.425783333691	242.190757561753	398.932264786176	178.527189292852	415.873226934392	222.860944203808	424.611607456994	364.55685007285	639.145241037625	451.943934100815	288.014972080335	445.721888407616	770.686334674466	461.440236856745	294.066778879241	177.294011918198	229.126418157561	344.891795677617	625.991822178339	340.143568408707	298.171798135925	276.282428545133	272.47876670806	207.936613467196	580.036549271449	257.78062081452	243.875327499248	491.143229094535	221.321531214813	218.274532292597	171.254727012622	354.588023836397	407.314679682518	401.707058123136	233.940851258727	385.343167337233	442.643062429627	494.559400409521	176.069352721887	213.782507373663	274.374006409291	280.139187522749	167.73035569387
ADAM28	199.466132393088	809.002303348098	501.463192364507	445.721888407616	173.645353913302	290.018274635724	170.071784204353	238.856445833423	319.572620518813	272.47876670806	177.294011918198	572.051014692977	177.294011918198	497.99933307509	471.136077119936	321.795423877588	317.365171184381	377.412919626522	377.412919626522	330.842324643198	544.95753341612	404.501151674049	304.437021440697	564.175419328825	504.9511447006	171.254727012622	427.565014747325	497.99933307509	445.721888407616	235.568038559968	167.73035569387	464.649807522386	515.56124162904	436.549064585194	519.147253652495	170.071784204353	240.517823798787	238.856445833423	826.001161443457	380.038034081037	209.382926990792	604.66824265192	221.321531214813	200.853529061568	178.527189292852	190.019017040518	729.113700145701	530.055641006786	179.768944094464	604.66824265192	196.720023204866	182.278425036425	245.571614547268	177.294011918198	166.571757496567	196.720023204866	177.294011918198	192.671583668617	259.573626826247	512	240.517823798787	207.936613467196	344.891795677617	342.509454025245	477.712891666846	1209.33648530384	639.145241037625	178.527189292852	424.611607456994	393.440046409731	393.440046409731	194.011720513331	164.278514888052	177.294011918198	174.853152864563	424.611607456994	634.730342368761	643.590847755176	474.41308768787	661.684649286396	792.353276693704	617.373607777669	162.016844028196	221.321531214813	192.671583668617	458.252836315122	474.41308768787	600.491494006722	530.055641006786	315.172969816299	209.382926990792	481.035647597574	243.875327499248	401.707058123136	445.721888407616	196.720023204866	221.321531214813	203.657339841259	608.874042881393	760.076068162073	173.645353913302	326.287520593731	171.254727012622
ADAMDEC1	130.689552090521	130.689552090521	203.657339841259	124.499833268773	138.141214272567	132.513910251696	151.16706066298	148.056087539877	157.586484908149	140.069593761375	151.16706066298	132.513910251696	131.598569811977	141.043854832206	152.218510720348	130.689552090521	126.23778617515	154.343401944417	132.513910251696	125.365798091127	146.017755631158	166.571757496567	157.586484908149	125.365798091127	135.298309191857	141.043854832206	144.007486040168	128	123.63985010238	147.03338943962	126.23778617515	134.363735503753	166.571757496567	116.970425629363	128	110.660765607407	121.095378780876	153.277274191223	146.017755631158	156.497955544585	165.421162321599	128	131.598569811977	160.897711938794	136.23938335403	132.513910251696	129.786813413124	119.428222916711	154.343401944417	155.416945202566	127.115839415941	140.069593761375	198.088319173426	152.218510720348	134.363735503753	149.085899067962	137.187003204645	126.23778617515	135.298309191857	128	181.019335983756	139.102062403335	131.598569811977	133.435617387664	123.63985010238	134.363735503753	150.122873501681	165.421162321599	194.011720513331	153.277274191223	145.009137317862	143.012753673244	134.363735503753	121.937663749624	129.786813413124	118.603271921967	128.89031040726	132.513910251696	164.278514888052	129.786813413124	125.365798091127	139.102062403335	151.16706066298	133.435617387664	139.102062403335	120.258911899394	135.298309191857	121.095378780876	137.187003204645	148.056087539877	115.360059214186	147.03338943962	212.305803728497	155.416945202566	206.500290360864	129.786813413124	227.543726378642	150.122873501681	127.115839415941	178.527189292852	158.68258559219	143.012753673244	148.056087539877
ADAMTS3	237.206543843935	163.143760296866	159.786310259406	163.143760296866	157.586484908149	166.571757496567	146.017755631158	156.497955544585	151.16706066298	162.016844028196	164.278514888052	145.009137317862	157.586484908149	172.445897838808	136.23938335403	159.786310259406	166.571757496567	151.16706066298	172.445897838808	153.277274191223	170.071784204353	153.277274191223	162.016844028196	157.586484908149	149.085899067962	149.085899067962	163.143760296866	136.23938335403	153.277274191223	158.68258559219	157.586484908149	145.009137317862	146.017755631158	154.343401944417	162.016844028196	163.143760296866	145.009137317862	171.254727012622	165.421162321599	163.143760296866	155.416945202566	145.009137317862	148.056087539877	163.143760296866	178.527189292852	134.363735503753	168.897012578931	144.007486040168	150.122873501681	153.277274191223	164.278514888052	162.016844028196	160.897711938794	159.786310259406	150.122873501681	148.056087539877	153.277274191223	166.571757496567	154.343401944417	164.278514888052	170.071784204353	156.497955544585	163.143760296866	174.853152864563	151.16706066298	173.645353913302	160.897711938794	153.277274191223	195.361178746952	154.343401944417	135.298309191857	148.056087539877	152.218510720348	165.421162321599	170.071784204353	140.069593761375	132.513910251696	167.73035569387	177.294011918198	148.056087539877	170.071784204353	159.786310259406	152.218510720348	146.017755631158	164.278514888052	165.421162321599	160.897711938794	159.786310259406	151.16706066298	168.897012578931	177.294011918198	178.527189292852	167.73035569387	150.122873501681	129.786813413124	143.012753673244	149.085899067962	148.056087539877	162.016844028196	155.416945202566	155.416945202566	155.416945202566	166.571757496567
ADRB2	424.611607456994	151.16706066298	349.706305729125	657.114059552207	935.763405034906	556.408249613341	229.126418157561	436.549064585194	592.224350159507	474.41308768787	421.678600840998	385.343167337233	739.291748107518	266.871234775327	347.290707826604	238.856445833423	377.412919626522	407.314679682518	556.408249613341	685.018908050489	533.742469550654	362.038671967512	515.56124162904	300.245747003361	195.361178746952	210.839300420499	306.554548382446	560.278375045499	477.712891666846	680.287136817414	1002.92638472901	560.278375045499	393.440046409731	634.730342368761	312.995911089169	203.657339841259	164.278514888052	215.269482304951	781.444714987806	666.28702998627	471.136077119936	292.035511262316	250.731596182253	261.379104181041	308.686803888835	237.206543843935	187.40296908104	442.643062429627	421.678600840998	321.795423877588	292.035511262316	357.054378585704	312.995911089169	404.501151674049	1120.556750091	312.995911089169	321.795423877588	183.546271746026	675.588050315722	256	910.174905514568	243.875327499248	324.033688056392	719.075776377855	497.99933307509	544.95753341612	448.82212931381	704.277410887549	935.763405034906	326.287520593731	760.076068162073	225.971967050408	380.038034081037	192.671583668617	191.340703825272	792.353276693704	294.066778879241	315.172969816299	580.036549271449	304.437021440697	533.742469550654	352.138705443775	216.766799964807	315.172969816299	191.340703825272	670.921422775482	814.629359365037	257.78062081452	709.176047672794	548.748012818582	257.78062081452	274.374006409291	388.023441026662	530.055641006786	508.463357663762	1105.12971418053	2486.67112324105	335.460711387741	955.425783333691	203.657339841259	164.278514888052	526.394279247906	340.143568408707
AIF1	150.122873501681	142.024892424684	1168.14204504927	248.999666537545	182.278425036425	337.794025157861	274.374006409291	458.252836315122	608.874042881393	359.537888188927	170.071784204353	186.108482217	206.500290360864	268.727471007505	182.278425036425	213.782507373663	218.274532292597	1089.91506683224	178.527189292852	298.171798135925	321.795423877588	526.394279247906	206.500290360864	390.722357493903	294.066778879241	152.218510720348	294.066778879241	166.571757496567	359.537888188927	304.437021440697	272.47876670806	195.361178746952	643.590847755176	661.684649286396	268.727471007505	198.088319173426	270.596618383713	317.365171184381	749.611876324161	290.018274635724	415.873226934392	317.365171184381	229.126418157561	347.290707826604	203.657339841259	308.686803888835	205.073888662943	143.012753673244	288.014972080335	430.538964609902	310.833890405132	477.712891666846	504.9511447006	349.706305729125	203.657339841259	342.509454025245	254.231678831881	263.197139623953	230.720118428372	374.80593816208	1408.5548217751	225.971967050408	484.381515123505	455.087452757284	786.880092819462	168.897012578931	464.649807522386	276.282428545133	1305.15008237492	484.381515123505	276.282428545133	477.712891666846	274.374006409291	455.087452757284	282.087709664412	256	326.287520593731	497.99933307509	639.145241037625	272.47876670806	367.092543492052	393.440046409731	326.287520593731	300.245747003361	286.025507346488	250.731596182253	261.379104181041	359.537888188927	617.373607777669	396.176638346852	1351.17610063144	604.66824265192	477.712891666846	215.269482304951	826.001161443457	541.193236767427	584.071022524633	552.564857090267	233.940851258727	354.588023836397	272.47876670806	369.645874053759	207.936613467196
AIM2	2503.96728871335	261.379104181041	515.56124162904	689.783591355233	3213.65646498509	5442.29709453931	1478.58349621504	1389.16283130642	1675.06341592634	424.611607456994	903.887868201631	1686.71440336399	205.073888662943	1663.49290773757	1323.36929857279	1509.65167850609	404.501151674049	995.998666150181	4389.98410254866	831.746453868785	1722.15585843961	3795.30470150296	2646.73859714558	230.720118428372	530.055641006786	144.007486040168	2740.07563220196	7383.04378970792	1770.57224971851	4039.6091576048	229.126418157561	167.73035569387	218.274532292597	3396.89285965595	724.077343935025	184.82293702688	240.517823798787	744.433928867999	5184.53900890227	1251.98364435668	170.071784204353	474.41308768787	205.073888662943	4299.63953612008	6517.03487492029	2628.45623820883	4973.34224648211	781.444714987806	694.581415653208	192.671583668617	192.671583668617	3492.39251668155	719.075776377855	315.172969816299	5367.37138220386	989.118800819041	347.290707826604	165.421162321599	5712.87005737126	657.114059552207	837.531707963168	224.411064656905	268.727471007505	8248.97986606464	3795.30470150296	209.382926990792	256	166.571757496567	560.278375045499	4240.44512805428	1807.77573640326	556.408249613341	328.557029776103	3590.57703451048	471.136077119936	2592.26950445113	3040.30427264829	1770.57224971851	1722.15585843961	183.546271746026	335.460711387741	164.278514888052	374.80593816208	776.046882053324	165.421162321599	935.763405034906	184.82293702688	2469.49443111068	225.971967050408	1937.52606049402	1618.0046066962	4124.48993303232	335.460711387741	388.023441026662	803.414116246273	168.897012578931	298.171798135925	504.9511447006	1192.6871925437	199.466132393088	150.122873501681	1009.9022894012	159.786310259406
