geneName	GSM340537	GSM340538	GSM340539	GSM340540	GSM340541	GSM340542	GSM340543	GSM340544	GSM340545	GSM340546
ABCB4	194.011720513331	199.466132393088	187.40296908104	164.278514888052	151.16706066298	213.782507373663	237.206543843935	515.56124162904	188.706459813261	167.73035569387
ABCB9	134.363735503753	153.277274191223	178.527189292852	167.73035569387	146.017755631158	141.043854832206	159.786310259406	156.497955544585	154.343401944417	155.416945202566
ACHE	171.254727012622	150.122873501681	160.897711938794	141.043854832206	155.416945202566	138.141214272567	162.016844028196	261.379104181041	158.68258559219	149.085899067962
ACP5	243.875327499248	388.023441026662	261.379104181041	247.279700204761	256	195.361178746952	508.463357663762	143.012753673244	354.588023836397	270.596618383713
ADAM28	497.99933307509	724.077343935025	427.565014747325	461.440236856745	617.373607777669	280.139187522749	458.252836315122	410.147777325886	643.590847755176	639.145241037625
ADAMDEC1	153.277274191223	188.706459813261	206.500290360864	138.141214272567	171.254727012622	162.016844028196	143.012753673244	119.428222916711	143.012753673244	315.172969816299
ADAMTS3	171.254727012622	147.03338943962	165.421162321599	176.069352721887	163.143760296866	232.324903761193	200.853529061568	152.218510720348	166.571757496567	170.071784204353
ADRB2	675.588050315722	754.825839253044	497.99933307509	596.34359627185	643.590847755176	643.590847755176	522.758208362083	430.538964609902	661.684649286396	491.143229094535
AIF1	1082.38647353485	910.174905514568	1448.15468787005	1176.26711551696	749.611876324161	942.272154239873	1217.74808576279	1584.70655338741	792.353276693704	584.071022524633
AIM2	666.28702998627	630.345939632597	1541.37266934893	254.231678831881	634.730342368761	826.001161443457	232.324903761193	347.290707826604	809.002303348098	333.143514993135
ALOX15	149.085899067962	155.416945202566	160.897711938794	137.187003204645	160.897711938794	128	145.009137317862	147.03338943962	141.043854832206	158.68258559219
ALOX5	3236.00921339239	4359.66026732896	2721.14854726966	4240.44512805428	4269.93975640524	885.286124859253	1038.29450730499	556.408249613341	5077.84273895009	5595.300891666
AMPD1	222.860944203808	337.794025157861	198.088319173426	205.073888662943	206.500290360864	111.430472101904	266.871234775327	123.63985010238	196.720023204866	137.187003204645
ANGPT4	126.23778617515	118.603271921967	118.603271921967	123.63985010238	118.603271921967	134.363735503753	113.771863189321	117.784019279984	121.095378780876	123.63985010238
ANKRD55	127.115839415941	132.513910251696	116.970425629363	140.069593761375	136.23938335403	157.586484908149	140.069593761375	129.786813413124	128	141.043854832206
APOBEC3A	142.024892424684	127.115839415941	151.16706066298	151.16706066298	126.23778617515	245.571614547268	227.543726378642	128	151.16706066298	132.513910251696
APOBEC3G	296.112175079754	451.943934100815	335.460711387741	340.143568408707	388.023441026662	227.543726378642	240.517823798787	284.049784849368	377.412919626522	433.533599929614
APOL3	433.533599929614	995.998666150181	879.171006912259	541.193236767427	564.175419328825	1074.90988403002	556.408249613341	512	519.147253652495	568.099569698737
APOL6	153.277274191223	221.321531214813	202.250575837025	212.305803728497	219.792751728065	192.671583668617	163.143760296866	178.527189292852	212.305803728497	200.853529061568
AQP9	225.971967050408	153.277274191223	141.043854832206	143.012753673244	133.435617387664	600.491494006722	224.411064656905	154.343401944417	144.007486040168	155.416945202566
ARHGAP22	157.586484908149	207.936613467196	178.527189292852	178.527189292852	200.853529061568	155.416945202566	199.466132393088	242.190757561753	205.073888662943	187.40296908104
ARRB1	421.678600840998	421.678600840998	533.742469550654	548.748012818582	458.252836315122	885.286124859253	625.991822178339	357.054378585704	407.314679682518	372.216964433999
ASGR1	290.018274635724	227.543726378642	330.842324643198	357.054378585704	266.871234775327	803.414116246273	404.501151674049	245.571614547268	227.543726378642	232.324903761193
ASGR2	115.360059214186	129.786813413124	128	131.598569811977	119.428222916711	145.009137317862	146.017755631158	143.012753673244	126.23778617515	129.786813413124
ATHL1	541.193236767427	1234.74721555534	497.99933307509	533.742469550654	714.108757171408	2120.22256402714	962.071295195148	739.291748107518	588.133557758482	1009.9022894012
ATP8B4	975.501309996992	448.82212931381	739.291748107518	652.575041187462	349.706305729125	1002.92638472901	1269.46068473752	1184.44870031901	474.41308768787	418.765853981584
AZU1	133.435617387664	139.102062403335	160.897711938794	140.069593761375	132.513910251696	152.218510720348	138.141214272567	119.428222916711	143.012753673244	144.007486040168
BACH2	169.344669649887	156.628177963266	151.630374041342	151.753700796009	163.18995549308	222.737782330189	172.320752316715	316.63454389503	154.608370691687	160.115507116266
BANK1	652.575041187462	508.463357663762	484.381515123505	380.038034081037	661.684649286396	522.758208362083	265.027820503393	265.027820503393	621.667780810264	508.463357663762
BARX2	128.89031040726	126.23778617515	165.421162321599	150.122873501681	133.435617387664	140.069593761375	145.009137317862	127.115839415941	147.03338943962	131.598569811977
BCL11B	300.245747003361	418.765853981584	296.112175079754	227.543726378642	354.588023836397	171.254727012622	248.999666537545	150.122873501681	380.038034081037	494.559400409521
BCL2A1	124.499833268773	136.23938335403	194.011720513331	127.115839415941	153.277274191223	242.190757561753	178.527189292852	153.277274191223	151.16706066298	153.277274191223
BCL7A	173.645353913302	213.782507373663	188.706459813261	203.657339841259	225.971967050408	164.278514888052	240.517823798787	178.527189292852	210.839300420499	216.766799964807
BFSP1	124.499833268773	150.122873501681	165.421162321599	168.897012578931	162.016844028196	128.89031040726	170.071784204353	130.689552090521	155.416945202566	162.016844028196
BIRC3	1074.90988403002	689.783591355233	1698.44642982798	903.887868201631	770.686334674466	1038.29450730499	922.88047371349	2225.63299845337	689.783591355233	675.588050315722
BLK	247.279700204761	192.671583668617	173.645353913302	135.298309191857	218.274532292597	1332.57405997254	130.689552090521	135.298309191857	143.012753673244	138.141214272567
BMP2K	198.088319173426	181.019335983756	206.500290360864	191.340703825272	198.088319173426	212.305803728497	230.720118428372	337.794025157861	205.073888662943	225.971967050408
BPI	119.428222916711	140.069593761375	126.23778617515	141.043854832206	140.069593761375	158.68258559219	154.343401944417	121.937663749624	129.786813413124	139.102062403335
BRAF	461.440236856745	445.721888407616	568.099569698737	471.136077119936	548.748012818582	257.78062081452	227.543726378642	222.860944203808	556.408249613341	445.721888407616
BRSK2	181.019335983756	145.009137317862	176.069352721887	176.069352721887	132.513910251696	135.298309191857	162.016844028196	298.171798135925	159.786310259406	178.527189292852
BST1	153.277274191223	177.294011918198	149.085899067962	166.571757496567	162.016844028196	124.499833268773	243.875327499248	172.445897838808	179.768944094464	184.82293702688
BTNL8	121.095378780876	118.603271921967	117.784019279984	129.786813413124	127.115839415941	119.428222916711	109.896375864033	136.23938335403	120.258911899394	114.56320907878
C1orf54	1663.49290773757	1640.59110930355	3350.12683185267	3191.45811828941	1448.15468787005	2076.58901460998	4608.23955328536	2435.49617152557	1595.7290591447	955.425783333691
C3AR1	257.78062081452	210.839300420499	219.792751728065	210.839300420499	186.108482217	162.016844028196	194.011720513331	252.4755723503	195.361178746952	192.671583668617
C5AR1	300.245747003361	219.792751728065	206.500290360864	195.361178746952	179.768944094464	433.533599929614	393.440046409731	657.114059552207	202.250575837025	207.936613467196
CA8	162.016844028196	156.497955544585	194.011720513331	184.82293702688	162.016844028196	179.768944094464	177.294011918198	121.095378780876	195.361178746952	181.019335983756
CAMP	187.40296908104	147.03338943962	177.294011918198	162.016844028196	165.421162321599	232.324903761193	207.936613467196	152.218510720348	166.571757496567	170.071784204353
CASP5	128.89031040726	137.187003204645	155.416945202566	150.122873501681	155.416945202566	166.571757496567	143.012753673244	143.012753673244	156.497955544585	133.435617387664
CCDC102B	252.4755723503	167.73035569387	182.278425036425	146.017755631158	165.421162321599	190.019017040518	302.33412132596	215.269482304951	192.671583668617	172.445897838808
CCL1	138.141214272567	163.143760296866	176.069352721887	173.645353913302	192.671583668617	147.03338943962	187.40296908104	148.056087539877	142.024892424684	163.143760296866
