Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340605,0,0.0439021536027421,0,0,0.107829177131485,0.0624002982567226,0.285164482715943,0,0.0941446422382351,0.0485296091140031,0,0.0263103864935827,0,0.0869957015765841,0,0,0,0.155670323938366,0,0,0.0677827539792851,0.0212704709530514,0.77,-0.00734039172627992,1.10051081086862
GSM340606,0.0113522130211354,0.0220885612458927,0,0,0.0681533337512708,0,0.372044558507569,0,0.0430281815346546,0.0295534326492506,0,0.00735994845694864,0,0.092313105062758,0,0,0,0.194578083220053,0.081577665025581,0,0.0281848063079373,0.0497661112169489,0.27,0.0673821127652837,1.06179643103487
GSM340607,0.0235196942587122,0,0.0849863513631834,0.0767531499404632,0,0.264696949766467,0,0,0.109309823694955,0,0.123173546017366,0,0.0228742854752282,0.00600030887112273,0.0297419024126957,0.117733843805601,0.0205137065714252,0.120696437822781,0,0,0,0,0.1,0.129957634453499,1.04454473442646
GSM340608,0.0537628990130926,0,0.0552804200494556,0,0,0.155214116562031,0.247066024872981,0,0.0404932865945768,0.0481469950235791,0,0.00781449685769687,0,0,0,0.245164005615754,0,0.0808882856983542,0.0517701693739366,0,0,0.0143993003385415,0.57,0.019164061948194,1.06500962467058
GSM340609,0.122853787692636,0,0,0,0,0.107857363660337,0.200543155924183,0,0.145112699784809,0,0.0726548240746827,0,0,0.0428431884310915,0,0,0.00376999763270619,0.304364982799555,0,0,0,0,0.56,0.0211012232418606,1.10643754675075
GSM340610,0,0.0166229932478688,0.0377277561686075,0,0.000923544677218299,0.0335213339954915,0.0938227645267672,0,0.224306960058919,0,0.140541023718973,0,0.008777513734641,0.0862559026282634,0.048474483042358,0,0.122522786838831,0.131917664777782,0.0545852725842788,0,0,0,0.3,0.0561564825835927,1.06704699284789
GSM340611,0.0228343993626362,0.0226967325705811,0,0,0,0.144907031220554,0.131859201671355,0.0331252301244568,0.0755832995603209,0.083441003513337,0,0.0212317555788407,0,0.12297709371586,0.0105773172700436,0,0.0849424006265242,0.200679630187784,0.0451449045977075,0,0,0,0.65,0.00431960699582996,1.09157315459168
GSM340615,0,0.0997785382016962,0,0,0,0.233703804246693,0,0,0.0783803022501432,0,0.0467167967142151,0.0832144017263398,0.0208902237284373,0,0,0.279540057209111,0,0.0626224764968219,0.0933248441744164,0,0.00182855525212576,0,0.49,0.0276272093640273,1.07876106450705
GSM340616,0.0305975672872237,0.00171598323535969,0,0,0.0788268791344302,0.13669551548829,0,0,0.226435140666656,0,0.0747883279628463,0,0.0689919096031984,0.00179770079718818,0,0.187138612929985,0,0.0658053106049132,0.113313851868857,0,0.0138932004210522,0,0.44,0.0319226017194821,1.0722042159134
GSM340617,0.0519465951865597,0,0,0.0735124066744428,0,0,0.181628827069058,0.0386324655332658,0.149776642592557,0.0130219958218649,0.0535811499412151,0,0.0127472598990679,0.0237307440922439,0,0.235276836092911,0,0.155819582744272,0,0,0,0.0103254943525422,0.52,0.0241444195699202,1.07906632297734
GSM340619,0,0.0230922936607814,0,0,0.0215018895383661,0.0560618055767518,0.369963328141622,0,0.073217063323099,0,0,0.037168549023988,0,0.0105900913831113,0,0.0869224188580629,0,0.182894215592767,0.0770443409016981,0,0,0.0615440039997522,0.72,-0.00260780496293162,1.0917713430408
